City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,salacgriva,57.7536,24.3581,35.28,84,72,23.38,LV,1707017243
83,fairbanks,64.8378,-147.7164,-35.91,66,0,0.0,US,1707017069
84,letlhakane,-21.4167,25.5833,69.03,52,16,7.02,BW,1707017243
85,taltal,-25.4,-70.4833,67.91,84,28,1.5,CL,1707017243
86,alta,69.9689,23.2717,22.26,86,100,4.61,NO,1707017243
87,weno,7.4515,151.8468,84.15,84,100,13.8,FM,1707017244
88,la passe,45.5549,-0.8967,44.98,94,41,6.15,FR,1707017244
89,ghadamis,30.1337,9.5007,53.8,63,100,10.85,LY,1707017064
90,urengoy,65.9667,78.3667,3.27,96,100,4.14,RU,1707017244
91,ancud,-41.8697,-73.8203,51.69,76,33,4.88,CL,1707017244
92,margate,51.3813,1.3862,51.91,89,100,8.01,GB,1707017181
93,charlestown,-32.95,151.6667,101.5,53,95,5.99,AU,1707017245
94,ushuaia,-54.8,-68.3,51.46,50,0,8.05,AR,1707017245
95,laguna,38.421,-121.4238,51.91,79,0,3.44,US,1707017245
96,karratha,-20.7377,116.8463,92.19,46,80,16.46,AU,1707017245
97,vila franca do campo,37.7167,-25.4333,64.89,99,90,8.46,PT,1707017245
98,montepuez,-13.1256,38.9997,69.44,98,97,1.61,MZ,1707017246
99,thetford-mines,46.0937,-71.3054,6.91,99,79,1.21,CA,1707017246
100,tulum,20.2167,-87.4667,75.09,83,48,9.01,MX,1707017246
101,garoowe,8.4054,48.4845,66.9,89,3,8.9,SO,1707017246
102,andapa,-14.65,49.65,71.15,99,100,1.88,MG,1707017246
103,sola,-13.8833,167.55,86.67,79,100,0.0,VU,1707017246
104,klyuchi,52.2667,79.1667,17.38,84,95,11.86,RU,1707017012
105,swakopmund,-22.6833,14.5333,65.25,91,97,1.01,NA,1707017068
106,sisimiut,66.9395,-53.6735,-5.03,85,81,9.78,GL,1707017247
107,wailua homesteads,22.0669,-159.378,73.83,59,75,25.32,US,1707017247
108,lubango,-14.9172,13.4925,60.66,100,75,3.44,AO,1707017247
109,portland,45.5234,-122.6762,46.98,78,40,3.44,US,1707017147
110,strelka,58.0728,93.0344,4.57,96,100,5.12,RU,1707017248
111,blackmans bay,-43.0167,147.3167,59.13,84,100,1.01,AU,1707017005
112,egilsstadir,65.2653,-14.3948,15.71,79,20,2.3,IS,1707017248
113,suarez,2.954,-76.6964,69.44,97,100,1.92,CO,1707017248
114,port lincoln,-34.7333,135.8667,83.14,42,1,9.51,AU,1707017248
115,vuhlehirs'k,48.3147,38.2742,34.95,98,100,15.88,UA,1707017249
116,bima,-8.4667,118.7167,87.73,70,88,4.76,ID,1707017249
117,happy valley-goose bay,53.3168,-60.3315,-18.09,83,20,3.44,CA,1707017249
118,eldersburg,39.4037,-76.9503,38.88,71,0,1.01,US,1707017101
119,tabou,4.423,-7.3528,80.6,83,99,5.84,CI,1707017249
120,severomorsk,69.0689,33.4162,23.4,86,100,15.17,RU,1707017250
121,mermoz boabab,14.7065,-17.4758,71.38,83,0,9.22,SN,1707017250
122,lihue,21.9789,-159.3672,74.44,59,75,25.32,US,1707017250
